RowID,OrderID,OrderDate,OrderMonthYear,Quantity,Quote,DiscountPct,Rate,SaleAmount,CustomerName,CompanyName,Sector,Industry,City,ZipCode,State,Region,ProjectCompleteDate,DaystoComplete,ProductKey,ProductCategory,ProductSubCategory,Consultant,Manager,HourlyWage,RowCount,WageMargin
80,483,2011-07-10,2011-07-01,30,4500,0.08,150,4140.00,Clay Polking,Marriott International,Consumer Services,Hotels/Resorts,Rock Island,61201,Illinois,Central,2011-07-12,2,Consulting - Market Research,Consulting,SQL,Isabella Douglas,Josh Martinez,75,1,0.50
81,487,2012-08-17,2012-08-01,19,3230,0.07,170,3003.90,Valerie Bell,"Citrix Systems, Inc.",Technology,Computer Software: Prepackaged Software,Orlando,32839,Florida,South,2012-08-18,1,Development - .Net,Development,Scala,Abigail Young,Frank Mitchell,50,1,0.71
82,512,2011-05-19,2011-05-01,6,750,0.06,125,705.00,Sam Haberlin,"Cisco Systems, Inc.",Technology,Computer Communications Equipment,East Point,30344,Georgia,South,2011-05-19,0,Training - Development,Training,Python,Isabella Douglas,Frank Mitchell,75,1,0.40
83,512,2011-05-19,2011-05-01,48,9600,0.01,200,9504.00,Sam Haberlin,"Cisco Systems, Inc.",Technology,Computer Communications Equipment,East Point,30344,Georgia,South,2011-05-21,2,Development - Big Data,Development,Market Research,Abigail Young,Frank Mitchell,50,1,0.75
84,513,2011-04-30,2011-04-01,33,4125,0,125,4125.00,Arthur Howell,Liberty Media Corporation,Consumer Services,Broadcasting,Cleveland,44105,Ohio,East,2011-04-30,0,Training - Development,Training,Python,Emma Watson,Allen Young,67,1,0.46
85,515,2010-08-28,2010-08-01,19,3230,0.08,170,2971.60,Carlos McAfee,"Charter Communications, Inc.",Consumer Services,Television Services,Wheeling,60090,Illinois,Central,2010-08-30,2,Development - .Net,Development,Python,Jacob Manziel,Josh Martinez,57,1,0.66
86,515,2010-08-28,2010-08-01,21,2625,0.05,125,2493.75,Carlos McAfee,"Charter Communications, Inc.",Consumer Services,Television Services,Wilmette,60091,Illinois,Central,2010-08-30,2,Training - SQL,Training,Big Data,Ethan Bird,Josh Martinez,60,1,0.52
87,548,2009-09-20,2009-09-01,41,8200,0.04,200,7872.00,Sung Fox,"Regeneron Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,Murray,42071,Kentucky,South,2009-09-21,1,Development - Scala,Development,Python,Ava Wilson,Frank Mitchell,67,1,0.67
88,548,2009-09-20,2009-09-01,29,3190,0.02,110,3126.20,Sung Fox,"Regeneron Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,Murray,42071,Kentucky,South,2009-09-21,1,Development - Python,Development,Big Data,Emily Taylor,Frank Mitchell,62,1,0.44
89,548,2009-09-20,2009-09-01,26,3900,0.04,150,3744.00,Sung Fox,"Regeneron Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,Murray,42071,Kentucky,South,2009-09-22,2,Consulting - Market Research,Consulting,Python,Emily Taylor,Frank Mitchell,62,1,0.59
90,549,2012-07-12,2012-07-01,13,1430,0.03,110,1387.10,Ken Budd,Bed Bath & Beyond Inc.,Consumer Services,Home Furnishings,Monroeville,15146,Pennsylvania,East,2012-07-13,1,Development - Python,Development,Market Research,Madison Hill,Allen Young,58,1,0.47
91,549,2012-07-12,2012-07-01,5,550,0.05,110,522.50,Ken Budd,Bed Bath & Beyond Inc.,Consumer Services,Home Furnishings,Monroeville,15146,Pennsylvania,East,2012-07-13,1,Development - Python,Development,Java,Emily Taylor,Allen Young,62,1,0.44
92,549,2012-07-12,2012-07-01,30,6000,0.05,200,5700.00,Ken Budd,Bed Bath & Beyond Inc.,Consumer Services,Home Furnishings,Monroeville,15146,Pennsylvania,East,2012-07-12,0,Development - Big Data,Development,Big Data,Mason Gibson,Allen Young,71,1,0.65
93,610,2011-08-01,2011-08-01,38,4180,0.02,110,4096.40,Joe Zeldin,Liberty Media Corporation,Consumer Services,Broadcasting,Fayetteville,72701,Arkansas,South,2011-08-03,2,Development - Python,Development,SQL,Noah Smith,Frank Mitchell,59,1,0.46
94,611,2010-01-26,2010-01-01,47,9400,0.04,200,9024.00,Arthur Howell,Liberty Media Corporation,Consumer Services,Broadcasting,Cleveland,44105,Ohio,East,2010-01-28,2,Development - Big Data,Development,Javascript,Abigail Young,Allen Young,50,1,0.75
95,612,2012-10-20,2012-10-01,50,5500,0.1,110,4950.00,Sheri Talbott,"Kraft Foods Group, Inc.",Consumer Non-Durables,Packaged Foods,Van Buren,72956,Arkansas,South,2012-10-22,2,Development - Python,Development,Tableau,Michael Alister,Frank Mitchell,68,1,0.38
96,612,2012-10-20,2012-10-01,43,6450,0.01,150,6385.50,Sheri Talbott,"Kraft Foods Group, Inc.",Consumer Non-Durables,Packaged Foods,Van Buren,72956,Arkansas,South,2012-10-22,2,Consulting - Market Research,Consulting,Python,Alexander Edison,Frank Mitchell,70,1,0.53
97,613,2011-06-17,2011-06-01,12,1920,0.03,160,1862.40,Carl Block,CA Inc.,Technology,Computer Software: Prepackaged Software,Waukegan,60087,Illinois,Central,2011-06-17,0,Development - Java,Development,Big Data,Elizabeth Carter,Josh Martinez,52,1,0.68
98,613,2011-06-17,2011-06-01,22,4400,0.09,200,4004.00,Carl Block,CA Inc.,Technology,Computer Software: Prepackaged Software,Waukegan,60087,Illinois,Central,2011-06-18,1,Development - Big Data,Development,Development,Alexander Edison,Josh Martinez,70,1,0.65
99,614,2012-11-30,2012-11-01,41,5125,0,125,5125.00,Dave Hart,VimpelCom Ltd.,Public Utilities,Telecommunications Equipment,Camp Springs,20746,Maryland,East,2012-12-02,2,Training - SQL,Training,Java,Mia Moore,Allen Young,51,1,0.59
100,614,2012-11-30,2012-11-01,24,3000,0.07,125,2790.00,Dave Hart,VimpelCom Ltd.,Public Utilities,Telecommunications Equipment,Camp Springs,20746,Maryland,East,2012-12-01,1,Training - Javascript,Training,Front End Web,Alexander Edison,Allen Young,70,1,0.44
101,640,2010-01-22,2010-01-01,39,4875,0.02,125,4777.50,Tamara Turnell,Seagate Technology.,Technology,Electronic Components,Pasadena,77506,Texas,Central,2010-01-23,1,Training - Tableau,Training,Python,Abigail Young,Josh Martinez,50,1,0.60
