First Name,Gender,Start Date,Last Login Time,Salary,Bonus %,Senior Management,Team
Beverly,Female,9/9/1998,8:26 PM,121918,15.835,false,Legal
Marilyn,Female,12/7/1980,3:16 AM,73524,5.207,true,Marketing
Cynthia,Female,11/16/1988,6:54 PM,145146,7.482,true,Product
Roger,Male,4/17/1980,11:32 AM,88010,13.886,true,Sales
Bruce,Male,11/28/2009,10:47 PM,114796,6.796,false,Finance
Kathy,Female,6/22/2005,4:51 AM,66820,9.0,true,Client Services
Clarence,Male,3/26/1996,5:57 AM,93581,6.083,true,Business Development
Chris,,1/24/1980,12:13 PM,113590,3.055,false,Sales
Nancy,Female,9/23/2000,8:05 AM,94976,13.83,true,Engineering
,,12/17/2011,8:29 AM,41126,14.009,,Sales
Todd,Male,2/18/1990,2:41 AM,49339,1.695,true,Human Resources
Alan,,3/3/2014,1:28 PM,40341,17.578,true,Finance
Sara,Female,8/15/2007,9:23 AM,83677,8.999,false,Engineering
Karen,Female,11/30/1999,7:46 AM,102488,17.653,true,Product
Carl,Male,5/3/2006,5:55 PM,130276,16.084,true,Finance
Henry,Male,6/26/1996,1:44 AM,64715,15.107,true,Human Resources
Theresa,Female,4/11/2010,7:18 AM,72670,1.481,true,Engineering
Irene,Female,5/7/1997,9:32 AM,66851,11.279,false,Engineering
Paula,,11/23/2005,2:01 PM,48866,4.271,false,Distribution
Denise,Female,11/6/2001,12:03 PM,106862,3.699,false,Business Development
,Female,6/12/2007,5:25 PM,58112,19.414,,Marketing
Matthew,Male,1/2/2013,10:33 PM,35203,18.04,false,Human Resources
Kathleen,,4/11/1990,6:46 PM,77834,18.771,false,Business Development
Steve,Male,11/11/2009,11:44 PM,61310,12.428,true,Distribution
Nancy,Female,12/15/2012,11:57 PM,125250,2.672,true,Business Development
Rachel,Female,8/16/1999,6:53 AM,51178,9.735,true,Finance
Jose,Male,10/30/2004,1:39 PM,84834,14.33,true,Finance
Irene,,7/14/2015,4:31 PM,100863,4.382,true,Finance
Todd,,6/10/2003,2:26 PM,84692,6.617,false,Client Services
Johnny,Male,11/6/2009,4:23 PM,118172,16.194,true,Sales
Bobby,Male,5/7/2007,10:01 AM,54043,3.833,false,Product
Frances,Female,4/4/1999,4:19 PM,90582,4.709,true,Sales
Thomas,Male,6/4/1995,2:24 PM,62096,17.029,false,Marketing
Bonnie,Female,7/2/1991,1:27 AM,104897,5.118,true,Human Resources
Margaret,Female,9/10/1988,12:42 PM,131604,7.353,true,Distribution
Charles,Male,9/14/2004,8:13 PM,107391,1.26,true,Marketing
Robin,Female,6/4/1983,3:15 PM,114797,5.965,true,Sales
Bonnie,Female,11/13/1988,3:30 PM,115814,4.99,false,Product
Gerald,,3/17/1995,12:50 AM,137126,15.602,true,Sales
Christopher,Male,3/30/2008,10:52 AM,47369,14.822,false,Legal
Steven,Male,3/30/1980,9:20 PM,35095,8.379,true,Client Services
Shawn,Male,9/23/2005,2:55 AM,148115,6.539,true,Finance
Doris,Female,8/20/2004,5:51 AM,83072,7.511,false,Finance
Jeremy,Male,2/1/2008,8:50 AM,100238,3.887,true,Client Services
Annie,,9/29/2007,12:11 AM,103495,17.29,true,Business Development
Annie,Female,1/30/1993,2:05 AM,144887,8.276,true,Sales
Donna,Female,11/27/1991,1:59 PM,64088,6.155,true,Legal
Janice,Female,3/12/2016,12:40 AM,51082,11.955,false,Legal
Janice,,8/21/1997,5:12 AM,91719,11.583,true,Legal
James,,1/26/2005,11:00 PM,128771,8.309,false,
Linda,Female,5/25/2000,5:45 PM,119009,12.506,true,Business Development
Virginia,,5/7/1994,5:58 PM,111858,1.601,true,Legal
Harry,Male,8/26/1981,3:16 PM,130620,7.03,false,Legal
Heather,Female,7/11/1998,2:17 PM,43026,14.166,false,Client Services
Cynthia,Female,3/21/1994,8:34 AM,142321,1.737,false,Finance
Laura,,7/19/2014,9:23 PM,140371,10.62,true,Marketing
Tina,Female,6/16/2016,7:47 PM,100705,16.961,true,Marketing
Harold,Male,1/2/1985,9:40 PM,77544,12.447,false,Business Development
Melissa,Female,6/21/2005,6:33 AM,48109,14.995,false,Finance
Aaron,Male,2/17/2012,10:20 AM,61602,11.849,true,Marketing
Jack,Male,1/12/1997,5:51 AM,103902,12.159,false,Client Services
Phyllis,Female,10/11/1996,9:30 PM,136984,8.932,true,Finance
John,Male,12/23/1989,7:01 AM,80740,19.305,false,Marketing
Kathy,Female,3/9/1996,4:33 AM,91712,8.567,false,Finance
Paul,Male,8/4/1993,7:25 PM,42146,3.046,false,Legal
Steven,Male,4/23/2013,10:12 PM,68680,16.565,false,Legal
Russell,,5/5/1988,7:57 AM,133980,12.396,true,Legal
Christopher,Male,4/22/2000,10:15 AM,37919,11.449,false,
Shirley,Female,6/20/2001,10:39 PM,147113,16.135,false,Legal
Bonnie,Female,12/17/1999,3:12 PM,42153,8.454,true,Business Development
Willie,Male,11/27/2003,6:21 AM,64363,4.023,false,Marketing
Tina,Female,6/12/2009,7:16 AM,114767,3.711,true,Engineering
Ashley,Female,8/4/2002,11:00 AM,58698,6.811,true,Business Development
Pamela,Female,7/1/1982,6:51 AM,54585,4.166,false,Product
,Male,6/22/1991,8:58 PM,76189,18.988,,Legal
Steven,Male,3/1/1995,3:03 PM,109095,9.494,false,Finance
Andrea,Female,1/12/2012,5:43 AM,120204,9.557,false,Business Development
Paul,Male,6/3/2008,3:05 PM,41054,12.299,false,Marketing
Peter,Male,11/17/1994,6:15 PM,84885,15.402,false,Business Development
Kathleen,,5/9/2016,8:55 AM,119735,18.74,false,Product
Christina,Female,4/13/2012,2:04 PM,110169,13.892,true,Engineering
Helen,Female,11/29/2001,2:30 AM,73789,14.841,true,Product
Marilyn,Female,11/16/1983,8:29 AM,76078,2.401,true,Product
Patricia,Female,9/1/2003,6:46 AM,49368,14.226,false,Human Resources
Michelle,Female,3/30/1984,6:43 PM,57325,17.179,true,Human Resources
William,Male,9/29/2002,4:09 PM,66521,5.83,false,Human Resources
Kenneth,Male,8/25/1987,9:16 PM,127654,16.439,true,Client Services
Antonio,Male,10/25/1988,1:50 PM,60866,13.101,true,Business Development
Shirley,Female,5/1/1984,1:15 PM,41334,6.219,true,Human Resources
Rebecca,Female,7/10/1992,12:23 AM,94231,17.517,false,Product
Carlos,Male,1/4/1995,7:02 AM,146670,10.763,false,Human Resources
Lois,Female,12/25/1987,4:16 PM,106317,2.235,true,Client Services
Carolyn,Female,4/9/2011,5:38 AM,109260,2.65,true,Business Development
Gloria,Female,6/29/2007,5:34 AM,134148,8.833,true,Legal
Henry,Male,4/24/1995,4:18 AM,43542,19.687,false,Legal
Adam,Male,5/21/2011,1:45 AM,95327,15.12,false,Distribution
Ashley,Female,5/25/2006,11:30 AM,112238,6.03,true,Engineering
,Female,10/3/1990,1:08 AM,132373,10.527,,
Shirley,Female,2/28/1981,1:23 PM,113850,1.854,false,Marketing
Adam,Male,12/24/1990,8:57 PM,110194,14.727,true,Product
Elizabeth,Female,10/9/2003,5:53 PM,146129,5.687,false,Finance
Teresa,,1/28/2016,10:55 AM,140013,8.689,true,Engineering
Nicole,,3/5/1982,2:28 PM,122717,12.452,false,Sales
Jennifer,Female,4/4/2009,10:47 PM,71715,13.079,true,Client Services
Patricia,Female,11/25/1992,2:24 AM,95322,4.15,false,Product
Philip,Male,7/17/2008,1:30 PM,89227,3.996,false,Legal
Patrick,,7/14/1991,2:24 AM,124488,14.837,true,Sales
,Female,8/17/2014,2:00 PM,86230,8.578,,Distribution
Sean,Male,5/4/1996,8:59 PM,135490,19.934,false,Marketing
Brandon,,11/3/1997,8:17 PM,121333,15.295,false,Business Development
Ruth,Female,8/19/1999,4:03 AM,129297,8.067,true,Client Services
Victor,,3/10/2011,8:40 PM,84546,10.489,true,Finance
Rebecca,Female,11/15/1980,4:13 AM,85730,5.359,true,Product
Marie,Female,3/16/2003,12:12 AM,104058,17.695,true,Business Development
Howard,Male,4/27/1992,1:10 AM,105062,1.563,false,Human Resources
,Female,7/27/2005,8:32 AM,79536,14.443,,Product
Norma,Female,2/28/1999,8:45 PM,114412,8.756,true,Marketing
James,,11/22/1983,10:52 PM,68501,14.316,false,Marketing
Kathy,Female,3/18/2000,7:26 PM,149563,16.991,true,Finance
Marilyn,,8/22/1999,9:09 AM,103386,11.451,false,Distribution
Arthur,Male,4/13/1998,11:28 AM,89786,14.422,true,Legal
Terry,Male,9/3/1990,9:15 PM,52226,19.135,false,Client Services
Mary,Female,8/13/1999,1:03 AM,134645,18.197,false,Business Development
,Female,3/23/2014,1:28 PM,59148,9.061,,Legal
,Female,7/9/1991,6:52 PM,42341,7.014,,Sales
Christopher,Male,12/24/2011,12:22 PM,142178,17.984,true,Sales
Peter,,9/3/1987,5:59 PM,38989,7.017,true,Marketing
Michelle,Female,11/4/1996,9:34 PM,53754,5.455,true,Product
Irene,Female,1/29/1992,11:36 AM,133772,19.02,true,Sales
Patrick,Male,8/17/2007,3:16 AM,143499,17.495,true,Engineering
Sara,Female,9/23/1991,6:17 PM,97058,9.402,false,Finance
Lillian,Female,12/21/2008,6:51 PM,85446,3.959,true,Engineering
,,9/18/2007,6:59 PM,40297,6.185,,Client Services
Willie,Male,2/17/1998,8:20 PM,146651,1.451,true,Engineering
Victor,Male,1/8/2003,1:02 PM,124486,10.166,false,Product
Wayne,Male,4/7/2012,8:00 AM,102652,14.085,true,Distribution
Jane,Female,9/3/1997,2:01 AM,144474,17.648,false,Product
Jessica,Female,10/23/1995,5:53 AM,68759,19.343,true,Finance
Mark,Male,4/12/2008,5:40 PM,57286,5.025,true,Business Development
Randy,Male,11/14/1999,12:12 PM,58129,1.952,true,Distribution
Lillian,Female,6/19/1999,4:44 PM,123940,12.184,true,Business Development
Ruth,,5/18/1999,5:56 AM,98233,2.518,true,Distribution
Jerry,Male,12/18/2003,6:46 AM,140810,9.177,true,Client Services
Sandra,Female,1/19/1983,7:25 AM,42090,8.842,true,Legal
,Female,2/23/2005,9:50 PM,149654,1.825,,Sales
Roger,Male,11/19/2004,3:55 PM,51430,6.46,false,Marketing
Charles,Male,10/14/2000,9:40 PM,71749,15.931,false,Legal
Clarence,Male,5/2/1998,3:16 AM,85700,1.215,false,Sales
Carol,Female,3/19/1996,3:39 AM,57783,9.129,false,Finance
Lois,Female,10/18/2013,4:51 PM,36946,6.652,false,Engineering
Barbara,,5/3/2003,7:32 PM,99326,16.475,true,Legal
Rebecca,Female,2/18/1995,6:50 AM,109259,4.443,true,Legal
Irene,Female,1/30/2004,8:25 PM,131038,8.996,false,Distribution
Ronald,Male,4/30/2014,2:19 PM,121068,12.757,true,Product
Steven,Male,11/10/1985,10:53 AM,62719,19.127,false,Client Services
Carolyn,Female,11/6/2012,3:51 AM,69268,3.031,false,Client Services
Maria,Female,12/27/1990,9:57 PM,36067,9.64,true,Product
Jonathan,Male,7/17/2009,8:15 AM,130581,16.736,true,
Gary,Male,8/12/1987,12:04 AM,89661,8.525,false,Finance
Kimberly,Female,7/15/1997,5:57 AM,36643,7.953,false,Marketing
Roger,Male,11/8/1982,2:32 AM,140558,5.084,true,Sales
Diana,Female,1/4/2013,7:53 AM,103521,2.784,true,Business Development
Willie,Male,6/6/2006,9:45 AM,55281,4.935,true,Marketing
Brandon,Male,3/27/2006,5:54 PM,115711,8.012,true,Finance
Patricia,Female,12/6/2012,4:01 AM,114079,8.399,true,Client Services
Katherine,Female,11/14/1999,8:15 AM,57531,1.767,false,Client Services
Jonathan,Male,10/12/1987,2:59 AM,141069,4.903,false,Human Resources
Emily,Female,9/20/2007,11:25 AM,89434,11.295,false,Engineering
Ruth,Female,8/12/1986,7:29 PM,44639,9.148,true,Legal
Linda,Female,6/24/2006,12:04 PM,110967,19.612,true,Human Resources
Lisa,Female,11/2/2009,9:42 AM,115387,1.821,false,Client Services
Evelyn,Female,5/24/1980,11:10 PM,81673,15.364,true,Engineering
Julie,Female,7/23/1989,1:52 PM,109588,3.55,false,Engineering
Mary,Female,5/30/2009,11:41 PM,92544,3.8,false,Client Services
Matthew,Male,7/31/2013,8:04 AM,142373,2.462,false,Marketing
Douglas,Male,9/3/1999,4:00 PM,83341,1.015,true,Client Services
Gregory,,6/15/1992,5:08 AM,98865,10.628,true,Finance
Billy,Male,3/13/1995,12:05 PM,120444,7.768,true,Finance
,Female,6/17/1991,12:49 PM,71945,5.56,,Marketing
Gregory,Male,1/29/2000,6:01 AM,109564,3.845,false,Legal
Jason,Male,10/17/1999,10:09 PM,78417,3.067,false,Finance
Daniel,Male,4/30/2010,3:48 AM,106947,15.866,true,Legal
Sarah,Female,9/14/1995,7:50 AM,87298,2.311,false,Distribution
Harry,Male,10/1/2015,7:47 PM,64579,15.266,true,Sales
Kathy,Female,4/19/1995,12:46 AM,50905,9.404,true,Finance
Todd,Male,4/13/1999,10:31 AM,59728,11.226,true,Client Services
Bobby,Male,9/23/1994,1:29 AM,51685,17.445,true,Engineering
Jeremy,Male,6/8/2000,12:15 AM,49542,1.679,true,Distribution
George,,2/24/1988,11:29 AM,38375,8.999,false,Legal
Diane,Female,4/18/1993,3:22 AM,64084,17.018,false,Product
Marilyn,Female,4/4/1997,9:28 PM,147663,10.263,false,Human Resources
Kathryn,Female,2/4/2004,1:47 PM,73935,14.752,false,Sales
Irene,Female,2/4/1982,5:26 PM,40837,12.182,true,Client Services
Norma,Female,2/11/2015,11:44 PM,94393,3.643,true,Engineering
Laura,Female,4/2/2006,1:57 PM,42087,2.624,false,Product
Cheryl,Female,9/23/2008,2:57 AM,52080,9.375,false,Legal
Kevin,Male,3/25/1982,7:31 AM,35061,5.128,false,Legal
Lillian,,5/12/2016,3:43 PM,64164,17.612,false,Human Resources
Phyllis,,4/21/1984,7:05 PM,94088,19.107,false,Distribution
Walter,Male,7/6/1983,11:54 PM,127813,5.961,false,Finance
Robert,Male,10/27/1990,7:15 PM,38041,18.428,true,Engineering
Jimmy,Male,10/7/1986,5:53 PM,126310,5.413,true,Product
Clarence,Male,10/8/1996,12:53 PM,142561,8.866,false,Client Services
Victor,Male,4/11/1991,7:44 AM,70817,17.138,false,Engineering
Fred,,12/2/1984,2:03 PM,59937,12.045,true,Human Resources
Brenda,,7/27/2010,11:07 PM,106115,3.742,true,Product
Justin,Male,12/6/1992,5:58 PM,82782,4.366,true,Distribution
Betty,Female,6/12/2002,3:59 AM,104896,19.55,true,Business Development
Randy,,2/6/1986,3:04 PM,133943,8.94,true,Sales
Sharon,,3/1/1990,3:46 AM,83658,6.513,false,Business Development
Ralph,Male,11/11/2004,1:35 AM,71896,4.232,true,Marketing
,,4/28/2003,3:01 AM,113732,10.391,,Sales
Edward,Male,5/27/1985,10:13 PM,110485,7.995,false,Client Services
Denise,Female,3/20/2009,7:57 AM,115118,5.108,false,Human Resources
Debra,Female,3/13/1998,11:16 PM,48696,4.75,false,Legal
,Male,11/25/1999,6:16 AM,42676,15.517,,Sales
Michael,Male,1/24/2002,3:04 AM,43586,12.659,false,
Henry,Male,2/6/1995,8:34 AM,89258,15.585,true,Human Resources
Gloria,Female,3/27/2007,1:44 AM,90730,2.491,false,Distribution
Marie,Female,8/6/1995,1:58 PM,100308,13.677,false,Product
Anne,Female,7/16/1986,2:08 PM,69134,3.723,true,Engineering
Sarah,,11/21/1985,1:08 PM,58295,14.603,true,Engineering
Stephanie,Female,3/24/1983,11:15 AM,50141,13.218,true,Human Resources
Roy,Male,9/23/2004,1:31 PM,101941,3.45,false,Client Services
,Female,8/5/2009,8:14 AM,115145,14.063,,Distribution
,Male,2/4/2005,1:01 PM,40451,16.044,,Distribution
Irene,Female,3/3/1982,8:26 AM,56526,5.81,true,Finance
,Female,8/2/1992,8:35 PM,145316,18.517,,Human Resources
Thomas,Male,4/6/2011,1:04 PM,103235,9.554,true,Human Resources
Frank,,11/20/2001,10:18 AM,58563,12.062,true,Marketing
Fred,Male,2/20/1980,2:25 AM,74129,18.225,false,Product
Nicholas,Male,4/12/1994,8:21 PM,74669,1.113,true,Product
Howard,Male,10/5/1982,7:22 AM,97490,5.46,true,Marketing
Debra,Female,2/22/1994,10:25 PM,104250,18.456,true,Business Development
Christine,Female,7/3/1989,4:01 AM,94345,11.996,false,Finance
Brenda,,5/29/1991,6:32 AM,82439,19.062,false,Sales
Betty,Female,6/28/2005,6:03 PM,51613,12.984,false,Distribution
Ruby,Female,11/8/2000,7:35 PM,105946,1.139,false,Business Development
Kevin,Male,7/12/1997,2:07 AM,46080,9.635,false,Business Development
Arthur,Male,1/1/2014,7:46 PM,134610,6.147,true,Human Resources
Carl,,2/7/2014,3:57 AM,125104,12.345,false,Client Services
Todd,Male,3/11/2009,3:43 AM,107281,1.612,true,Engineering
Brenda,Female,10/6/2005,9:33 PM,141521,4.337,false,Client Services
Judy,Female,9/16/1997,12:10 AM,65931,2.304,false,Human Resources
Todd,Male,2/2/1984,10:13 AM,69989,10.985,true,Finance
Lois,Female,11/9/2011,7:06 AM,147183,9.999,true,Client Services
Walter,,12/21/1999,10:33 PM,66757,18.099,false,Distribution
Jessica,Female,9/27/1985,1:35 PM,75145,6.388,true,Legal
Jeremy,Male,6/14/1988,6:20 PM,129460,13.657,true,
Tammy,Female,11/11/1984,10:30 AM,132839,17.463,true,Client Services
Anne,Female,3/7/2000,6:45 AM,44537,18.284,true,Client Services
Jesse,Male,10/25/1999,3:35 PM,118733,9.653,false,Marketing
Virginia,Female,10/20/1999,6:23 AM,46905,19.154,false,Distribution
Jesse,Male,3/2/1981,7:26 PM,79582,3.873,false,Legal
Jeremy,,11/10/1996,1:49 PM,55394,3.18,true,Sales
Daniel,Male,9/15/2007,10:16 PM,123811,7.664,true,Human Resources
Patrick,,8/30/2004,11:43 AM,137314,4.542,true,Marketing
Emily,Female,1/13/1988,6:42 AM,36711,19.028,true,Human Resources
Alan,Male,6/26/1988,3:54 AM,111786,3.592,true,Engineering
James,Male,7/11/2015,8:52 PM,72257,13.023,false,Engineering
Adam,Male,7/5/2007,11:59 AM,71276,5.027,true,Human Resources
Joan,,7/25/1980,12:22 PM,38712,3.657,false,Client Services
Jeremy,Male,8/12/1981,12:05 AM,46930,18.702,true,Finance
Margaret,Female,2/6/1993,1:05 PM,125220,3.733,false,Marketing
Mark,Male,4/1/1984,1:21 PM,121477,17.44,true,Business Development
Marilyn,Female,9/26/1981,2:23 AM,86386,2.937,false,Distribution
Cheryl,Female,9/8/2009,10:16 AM,81308,2.196,true,Legal
Benjamin,Male,9/11/1984,6:37 AM,84810,15.794,false,Marketing
Harold,Male,2/20/1990,11:00 PM,66775,2.158,true,Legal
Ernest,,1/18/2002,1:51 AM,72145,13.448,true,Finance
Gerald,Male,4/16/2001,10:09 PM,121604,1.923,true,Sales
Judy,Female,7/1/1991,2:33 AM,109510,13.457,true,Legal
Bobby,Male,3/31/1996,5:40 PM,112117,6.338,false,
Bobby,,9/1/1995,2:09 PM,108127,15.858,false,Client Services
Marie,Female,10/3/2013,8:05 PM,123711,10.966,false,Product
Kathy,Female,12/18/2013,3:09 PM,132381,8.34,false,Business Development
Roy,Male,8/6/2006,7:52 AM,148225,1.841,false,Finance
Jacqueline,Female,11/25/1981,3:01 PM,145988,18.243,false,Marketing
,Female,7/8/2008,11:40 PM,62960,14.356,,Sales
Julie,Female,3/23/1986,9:26 AM,56926,7.507,false,Sales
Douglas,Male,1/8/2002,6:42 PM,41428,14.372,false,Product
Linda,Female,12/16/1990,2:20 AM,115658,3.041,true,Sales
Ruby,Female,12/10/1988,8:27 PM,76707,6.031,false,Business Development
Russell,Male,1/2/2005,1:48 AM,60388,17.885,false,Client Services
Jeffrey,Male,6/18/1997,8:01 PM,45150,12.075,true,Product
Aaron,Male,1/29/1994,6:48 PM,58755,5.097,true,Marketing
Samuel,Male,12/19/1991,2:54 AM,76076,5.319,true,Finance
,Male,1/27/2010,2:57 AM,87760,14.987,,Engineering
Randy,Male,3/16/2014,6:24 PM,135119,7.887,false,Client Services
Evelyn,Female,9/3/1983,1:58 PM,36759,17.269,true,Marketing
Fred,Male,2/13/1987,2:15 PM,121723,18.645,true,Product
Shirley,Female,6/8/1986,2:25 AM,110061,7.494,false,Client Services
Todd,Male,5/23/2011,4:14 PM,85074,1.844,false,Client Services
Robert,Male,11/18/2014,5:00 AM,85799,19.93,false,Finance
Mark,Male,1/22/2007,2:37 PM,75150,12.182,true,Legal
Earl,Male,1/5/2000,5:46 PM,91344,4.035,true,Sales
Richard,Male,9/27/2005,1:41 AM,86326,10.717,false,Product
Michael,Male,11/22/1991,12:57 PM,98753,16.443,true,Human Resources
Steven,Male,5/12/2009,2:14 PM,113060,2.846,true,Sales
Carlos,Male,9/19/2007,1:01 AM,77327,11.58,true,Finance
Marie,Female,10/20/2011,10:09 PM,62666,10.247,false,Product
Ronald,Male,2/24/2009,2:09 PM,96633,4.99,true,Engineering
Scott,Male,5/12/2009,4:36 AM,58248,3.914,false,Business Development
Steven,Male,11/21/2006,8:30 AM,83706,6.96,true,Human Resources
James,Male,11/22/1998,3:48 AM,74086,5.778,true,Human Resources
Lori,Female,3/31/1988,10:59 PM,95389,14.223,false,Sales
Philip,Male,8/2/1989,11:21 AM,129968,19.897,false,Finance
Phyllis,Female,11/24/2005,11:57 PM,140347,8.723,false,Sales
Thomas,,8/31/1995,8:31 PM,41549,3.95,false,Sales
Cynthia,Female,12/3/2012,11:03 PM,74287,10.751,false,Sales
,Male,10/9/2011,9:29 AM,69906,4.844,,Engineering
,Male,4/22/1997,9:36 PM,65078,3.095,,Marketing
Elizabeth,Female,11/10/2005,4:56 AM,106406,1.782,true,Legal
Andrea,Female,9/14/2003,10:30 PM,115913,12.121,false,Legal
Judy,Female,2/1/1990,3:32 PM,38092,5.668,false,Distribution
Russell,Male,8/13/2014,3:51 PM,121160,7.843,false,Engineering
Scott,Male,12/17/2011,3:45 AM,90429,4.45,false,Product
Sarah,Female,5/22/1994,7:06 AM,64207,7.824,true,Client Services
Susan,Female,9/25/2004,1:30 AM,80688,18.892,true,Sales
Margaret,Female,5/5/2014,6:01 AM,55044,4.078,false,Sales
Joshua,Male,11/9/2009,6:32 AM,72893,9.555,false,Distribution
Justin,,4/15/2005,8:43 PM,96978,13.865,false,Finance
Juan,Male,4/16/2002,11:09 PM,97364,3.595,false,Product
Gloria,,7/19/1983,1:57 AM,140885,1.113,false,Human Resources
Jennifer,,1/24/1989,8:38 PM,58520,16.231,true,Client Services
Edward,Male,8/4/1989,6:06 AM,66067,10.957,true,
Marilyn,Female,12/17/1982,12:10 PM,147183,8.748,false,Business Development
Mary,Female,10/18/2009,6:32 PM,87721,12.484,false,Product
Linda,Female,7/15/2009,10:12 PM,144001,2.194,false,Business Development
Larry,Male,8/27/2003,1:00 PM,91133,5.14,false,Sales
Albert,Male,2/1/1997,4:20 PM,67827,19.717,true,Engineering
Kenneth,Male,4/13/1999,10:28 PM,81839,12.072,false,Sales
,Female,12/31/2006,11:02 PM,81444,3.171,,Distribution
Gregory,,7/9/2011,11:31 PM,137661,4.805,true,Sales
Brandon,Male,10/16/2015,2:44 AM,112548,4.664,false,Engineering
Stephen,Male,4/9/1987,12:47 PM,111249,10.574,true,Human Resources
Russell,Male,10/30/1994,5:46 AM,114334,9.669,false,Product
,Female,9/18/2002,12:39 PM,118906,4.537,,Marketing
Pamela,,7/15/2001,1:33 PM,72979,5.66,false,Sales
Scott,Male,8/3/1996,1:50 AM,64172,10.894,true,Engineering
,Female,4/18/1996,3:57 PM,107024,12.182,,
Carlos,Male,7/28/2010,3:08 PM,50167,2.362,false,Product
Jack,Male,12/24/1980,10:58 PM,106995,15.723,false,Product
Debra,Female,1/19/2010,8:48 AM,70492,8.895,false,Client Services
Phyllis,Female,1/15/1995,5:27 AM,125881,16.697,false,Sales
Robert,Male,10/29/1994,4:26 AM,123294,19.894,false,Client Services
Gloria,Female,9/19/1989,7:40 PM,131045,11.312,true,Product
Sharon,,10/28/1984,5:59 PM,97635,10.413,true,Client Services
Barbara,,4/26/2001,12:22 AM,94493,13.443,true,Sales
Marilyn,Female,8/15/1989,9:14 AM,140502,9.989,true,Sales
Ralph,Male,10/27/2010,10:28 AM,106310,4.03,true,Client Services
Harry,,12/5/1996,5:45 AM,46240,6.976,true,Engineering
Robin,Female,1/8/1998,2:12 AM,111163,5.025,true,Product
Kathy,Female,11/25/2001,9:55 PM,93753,7.094,true,Sales
Rose,Female,7/6/2002,3:57 PM,63494,19.385,true,Human Resources
Clarence,Male,1/13/2005,9:00 AM,116693,13.835,true,Distribution
Doris,Female,7/29/1992,6:40 PM,85215,7.425,true,Human Resources
Kathryn,Female,6/9/1988,9:29 AM,86439,7.799,false,Finance
Billy,,3/16/2004,8:21 AM,62913,18.241,true,Marketing
Norma,Female,4/16/1996,5:40 AM,38872,9.302,true,Business Development
Richard,,11/28/1992,5:05 PM,124655,14.272,true,Engineering
Craig,Male,2/8/1984,4:45 AM,113506,19.642,false,Marketing
